题型,题号,核心考察知识点
阅读理解,1,阅读理解 - 词义猜测题：根据上下文语境猜测动词词义，同时考察核心动词短语的同义替换能力
阅读理解,2,阅读理解 - 细节理解题：原文细节信息定位、关键词同义替换（unusual 与 odd），考察文本信息精准匹配能力
阅读理解,3,阅读理解 - 段落主旨大意题：概括段落核心论述内容，考察文本结构梳理与核心信息提炼能力
阅读理解,4,阅读理解 - 推理判断题：基于原文多段信息进行综合比对与合理推断，考察文本深层含义理解与细节排除能力
七选五,5,七选五 - 上下文逻辑衔接：考察并列 / 递进逻辑，以及对前文两个并列方法的指代衔接与语义连贯能力
七选五,6,七选五 - 段落主题句补全：考察因果逻辑衔接，以及段落核心主题（树木产氧）的匹配能力
七选五,7,七选五 - 上下文语义衔接：考察指示代词的指代关系，以及段落主题（心脏健康）的顺承逻辑匹配
七选五,8,七选五 - 段落小标题匹配：考察段落核心主旨的提炼概括能力，以及小标题的句式与主题一致性匹配
七选五,9,七选五 - 上下文语义衔接：考察后文语义的呼应匹配，以及段落情感逻辑的连贯能力
完形填空,10,完形填空 - 形容词词义辨析：核心形容词在语境中的语义匹配，考察固定搭配 be vital to 的用法与语境适配能力
完形填空,11,完形填空 - 名词词义辨析 + 固定搭配：考察 take action to do sth. 固定短语，以及语境中名词的语义匹配
完形填空,12,完形填空 - 名词词义辨析：考察上下文原词复现，以及核心主题词的语境匹配能力
完形填空,13,完形填空 - 介词短语辨析：考察高频介词短语的语义辨析，以及语境逻辑的适配能力
完形填空,14,完形填空 - 名词词义辨析：考察环保主题语境下的名词语义匹配，以及生活常识与文本主题的结合能力
完形填空,15,完形填空 - 副词词义辨析：考察前后文反义语义对应，以及副词在语境中的修饰逻辑
完形填空,16,完形填空 - 动词词义辨析：考察环保主题语境下的动词语义匹配，以及核心动词同义替换（reuse 与 use again）的理解
完形填空,17,完形填空 - 动词短语辨析：考察高频动词短语的语义辨析，以及上下文反义逻辑的匹配能力
完形填空,18,完形填空 - 名词词义辨析：考察上下文语境的语义匹配，以及核心主题（零浪费）的词汇适配
完形填空,19,完形填空 - 名词词义辨析：考察固定搭配 the other side，以及生活常识与文本语境的结合能力
完形填空,20,完形填空 - 名词词义辨析：考察上下文语境的泛指语义匹配，以及代词的指代逻辑理解
完形填空,21,完形填空 - 形容词词义辨析：考察并列结构下的形容词语义匹配，以及情感态度类形容词的语境适配
完形填空,22,完形填空 - 动词词义辨析：考察上下文顺承逻辑的语义匹配，以及文本情感倾向的理解
完形填空,23,完形填空 - 动词词义辨析：考察固定搭配 spread the news，以及核心主题语境下的动词语义匹配
完形填空,24,完形填空 - 名词词义辨析：考察全文核心主题（环保意识）的名词语义匹配，以及语篇主旨的理解能力
语法填空,25,语法填空 - 副词：形容词变副词，考察固定短语 most importantly 作评注性状语，修饰整个句子的用法
语法填空,26,语法填空 - 非谓语动词：不定式作宾语补足语，考察固定搭配 require sb. to do sth. 的用法
语法填空,27,语法填空 - 名词单复数：可数名词前有 several 修饰，考察可数名词复数形式的变化规则
语法填空,28,语法填空 - 介词：考察固定搭配 effect on/upon（对… 的影响）的用法
语法填空,29,语法填空 - 动词语态 + 情态动词：考察情态动词后的被动语态，结构为情态动词 + be + 动词过去分词
语法填空,30,语法填空 - 形容词最高级：考察固定结构 one of + 形容词性物主代词 + 形容词最高级 + 可数名词复数
语法填空,31,语法填空 - 非谓语动词：过去分词作后置定语，表被动与完成，考察非谓语动词与逻辑主语的主被动关系判断
语法填空,32,语法填空 - 非谓语动词：现在分词作后置定语，表主动与进行，考察非谓语动词与逻辑主语的主被动关系判断
语法填空,33,语法填空 - 定语从句：关系副词 where 引导定语从句，先行词为地点名词，从句缺少地点状语，考察定语从句关系词的选择
语法填空,34,语法填空 - 代词：反身代词，考察固定搭配 devote oneself to（致力于…）的用法
单句填空,35,单句填空 - 词性转换：形容词 cruel 转换为名词 cruelty，考察形容词后接名词作句子主语的用法
单句填空,36,单句填空 - 词性转换：动词 devote 转换为名词 devotion，考察形容词性物主代词后接名词作介词宾语的用法
单句填空,37,单句填空 - 词性转换：形容词 extinct 转换为名词 extinction，考察定冠词 the 后接名词作介词宾语的用法
单句填空,38,单句填空 - 词性转换：动词 permit 转换为名词 permission，考察名词所有格后接名词作介词宾语的用法
单句填空,39,单句填空 - 非谓语动词：过去分词作后置定语，表被动与完成，考察非谓语动词与逻辑主语的主被动关系判断
单句填空,40,单句填空 - 词性转换：动词 scare 转换为形容词 scaring/scary，考察 - ing 形容词修饰物、表 “令人感到… 的” 用法
单句填空,41,单句填空 - 词性转换：形容词 severe 转换为副词 severely，考察副词修饰动词过去分词的用法
单句填空,42,单句填空 - 词性转换：名词 profession 转换为形容词 professional，考察形容词作定语修饰名词的用法
单句填空,43,单句填空 - 非谓语动词：动名词的被动语态，考察固定搭配 prevent...from doing sth.，以及逻辑主语与动词的被动关系判断
单句填空,44,单句填空 - 词性转换：动词 establish 转换为名词 establishment，考察定冠词 the 后接名词作句子主语的用法
单句填空,45,单句填空 - 词性转换：形容词 fortunate 转换为副词 fortunately，考察副词作评注性状语修饰全句的用法
单句填空,46,单句填空 - 非谓语动词：现在分词作宾语补足语，考察固定搭配 see sb./sth. doing sth.，表动作正在进行
单句填空,47,单句填空 - 非谓语动词：现在分词作后置定语，表主动与进行，考察非谓语动词与逻辑主语的主被动关系判断
单句填空,48,单句填空 - 非谓语动词：过去分词作宾语补足语，考察固定搭配 hear sth. done，表被动与完成
单句填空,49,单句填空 - 非谓语动词：过去分词作宾语补足语，考察固定搭配 make oneself understood 的用法
单句填空,50,单句填空 - 非谓语动词：with 复合结构，考察过去分词作宾语补足语，表被动与完成
单句填空,51,单句填空 - 非谓语动词：过去分词作宾语补足语，考察固定搭配 keep sb. informed of 的用法
单句填空,52,单句填空 - 非谓语动词：过去分词作宾语补足语，考察固定搭配 have sth. done 的用法
