[行政班]高一英语课时练（第1次）2026年3月16日高一年级（英语）小题得分明细,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
准考证号,自定义考号,班级,英语,校次,班次,客观分,主观分,单选题,其他,书面表达,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,27,26
82161518,7105100042,高一550班,100,1,1,57,43,57,38,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,18,5
82161521,7105100100,高一550班,100,1,1,57,43,57,38,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,18,5
82166209,7105100106,高一552班,99,3,1,57,42,57,38,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,18,4
82166216,7105100103,高一552班,99,3,1,57,42,57,38,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,18,4
82166227,7105100039,高一550班,99,3,3,57,42,57,38,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,18,4
82161541,7105100050,高一550班,98,6,4,55,43,55,38,5,3,3,3,3,3,3,3,3,3,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,20,18,5
82168040,7105100074,高一551班,98,6,1,55,43,55,38,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,20,18,5
82168043,7105100517,高一556班,98,6,1,57,41,57,36,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,16,5
82168066,7105100008,高一551班,98,6,1,55,43,55,38,5,3,3,3,3,3,3,3,3,3,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,20,18,5
82159547,7105100222,高一555班,97,10,1,57,40,57,36,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,16,4
82166233,7105100070,高一552班,97,10,3,57,40,57,35,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,17,5
82168045,7105100002,高一551班,97,10,3,57,40,57,35,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,17,5
82156577,7106100935,高一561班,96,13,1,55,41,55,36,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,20,16,5
82156582,7106100633,高一561班,96,13,1,55,41,55,37,4,3,3,3,3,3,3,3,3,3,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,20,17,4
82156598,7106100122,高一561班,96,13,1,55,41,55,36,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,20,16,5
